name,designation,specialization,content,cleaned
Dr Narayana Rao Appini,Head of the Department,"Software Engineering, Computer Networks, Machine Learning","Dr Narayana Rao Appini Head of the Department Software Engineering, Computer Networks, Machine Learning","dr narayana rao appini head of the department software engineering, computer networks, machine learning"
Prof Nataraja Suresh Myle,Professor,"Computer Science, Artificial Intelligence","Prof Nataraja Suresh Myle Professor Computer Science, Artificial Intelligence","prof nataraja suresh myle professor computer science, artificial intelligence"
Mr Venkata Mahendra Tatiparthi,Associate Professor,"Computer Science, Artificial Intelligence","Mr Venkata Mahendra Tatiparthi Associate Professor Computer Science, Artificial Intelligence","mr venkata mahendra tatiparthi associate professor computer science, artificial intelligence"
Ms Manne Sujana,Assistant Professor,"Artificial Intelligence, Data Science, Computer Science","Ms Manne Sujana Assistant Professor Artificial Intelligence, Data Science, Computer Science","ms manne sujana assistant professor artificial intelligence, data science, computer science"
Mr Mekala Sivapratap Reddy,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Mr Mekala Sivapratap Reddy Assistant Professor Artificial Intelligence, Machine Learning, Data Science","mr mekala sivapratap reddy assistant professor artificial intelligence, machine learning, data science"
Mr Chiranjeevi S V,Assistant Professor,"Computer Science, Information Systems, Computer Organization, DBMS, Digital Logic Design, Computer Networks","Mr Chiranjeevi S V Assistant Professor Computer Science, Information Systems, Computer Organization, DBMS, Digital Logic Design, Computer Networks","mr chiranjeevi s v assistant professor computer science, information systems, computer organization, dbms, digital logic design, computer networks"
Mrs Chandrakala Palem,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Mrs Chandrakala Palem Assistant Professor Artificial Intelligence, Machine Learning, Data Science","mrs chandrakala palem assistant professor artificial intelligence, machine learning, data science"
Mr Venkateswarlu Avula,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Mr Venkateswarlu Avula Assistant Professor Artificial Intelligence, Machine Learning, Data Science","mr venkateswarlu avula assistant professor artificial intelligence, machine learning, data science"
Dr Mamatha Sekireddy,Assistant Professor,"Computer Science, Artificial Intelligence, Machine Learning","Dr Mamatha Sekireddy Assistant Professor Computer Science, Artificial Intelligence, Machine Learning","dr mamatha sekireddy assistant professor computer science, artificial intelligence, machine learning"
Mrs Kalyani Bondu,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Mrs Kalyani Bondu Assistant Professor Artificial Intelligence, Machine Learning, Data Science","mrs kalyani bondu assistant professor artificial intelligence, machine learning, data science"
Ms Swarnalatha V,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Ms Swarnalatha V Assistant Professor Artificial Intelligence, Machine Learning, Data Science","ms swarnalatha v assistant professor artificial intelligence, machine learning, data science"
Mr P Penchala Prasanth,Assistant Professor,"Computer Science, Artificial Intelligence","Mr P Penchala Prasanth Assistant Professor Computer Science, Artificial Intelligence","mr p penchala prasanth assistant professor computer science, artificial intelligence"
Mrs Pitti Jyothi,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science","Mrs Pitti Jyothi Assistant Professor Artificial Intelligence, Machine Learning, Data Science","mrs pitti jyothi assistant professor artificial intelligence, machine learning, data science"
