name,designation,specialization
Dr Narayana Rao Appini,Head of the Department,"Software Engineering, Computer Networks, Machine Learning"
Prof Nataraja Suresh Myle,Professor,"Computer Science, Artificial Intelligence"
Mr Venkata Mahendra Tatiparthi,Associate Professor,"Computer Science, Artificial Intelligence"
Ms Manne Sujana,Assistant Professor,"Artificial Intelligence, Data Science, Computer Science"
Mr Mekala Sivapratap Reddy,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
Mr Chiranjeevi S V,Assistant Professor,"Computer Science, Information Systems, Computer Organization, DBMS, Digital Logic Design, Computer Networks"
Mrs Chandrakala Palem,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
Mr Venkateswarlu Avula,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
Dr Mamatha Sekireddy,Assistant Professor,"Computer Science, Artificial Intelligence, Machine Learning"
Mrs Kalyani Bondu,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
Ms Swarnalatha V,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
Mr P Penchala Prasanth,Assistant Professor,"Computer Science, Artificial Intelligence"
Mrs Pitti Jyothi,Assistant Professor,"Artificial Intelligence, Machine Learning, Data Science"
